t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,mu,J2,J3
125720.0,7750.760219863331,768.4513542574487,-6211.7470158272745,0.16984073091362295,6.251781601546716,0.9825679062985204,398600.4415,0.0010826269,0.0
125730.0,7752.302488960276,830.9532712610962,-6201.796110337182,0.1386120346521269,6.248559830342491,1.0076065158888006,398600.4415,0.0010826269,0.0
125740.0,7753.532442331064,893.421711787405,-6191.595021313613,0.1073777915126608,6.245086328433223,1.0326044479405825,398600.4415,0.0010826269,0.0
125750.0,7754.450030809601,955.8541592249796,-6181.144160583912,0.07613926370083812,6.241361236818967,1.0575606910284967,398600.4415,0.0010826269,0.0
125760.0,7755.055217850268,1018.248098423376,-6170.443950079216,0.044897713603152534,6.237384706730015,1.0824742354192334,398600.4415,0.0010826269,0.0
125770.0,7755.347979529975,1080.601015795424,-6159.494821817728,0.013654403735290255,6.233156899620998,1.1073440731129938,398600.4415,0.0010826269,0.0
125780.0,7755.328304549998,1142.9103994195166,-6148.297217887818,-0.01758940330959069,6.228677987164511,1.1321691978848856,398600.4415,0.0010826269,0.0
125790.0,7754.996194237604,1205.1737391418606,-6136.851590430965,-0.04883244491261385,6.223948151244318,1.156948605326266,398600.4415,0.0010826269,0.0
125800.0,7754.351662547539,1267.3885266786924,-6125.15840162458,-0.0800734584809708,6.2189675839480945,1.181681292886032,398600.4415,0.0010826269,0.0
125810.0,7753.394736063374,1329.5522557184524,-6113.218123664725,-0.11131118149974195,6.213736487559709,1.2063662599118525,398600.4415,0.0010826269,0.0
125820.0,7752.125453998773,1391.662422023921,-6101.0312387487775,-0.142544351583751,6.208255074551064,1.231002507691351,398600.4415,0.0010826269,0.0
125830.0,7750.543868198698,1453.7165235343095,-6088.598239058039,-0.17377170652945328,6.202523567573462,1.2555890394932288,398600.4415,0.0010826269,0.0
125840.0,7748.650043140584,1515.7120604673141,-6075.919626740341,-0.20499198436685884,6.196542199448518,1.2801248606083373,398600.4415,0.0010826269,0.0
125850.0,7746.444055935541,1577.6465354211196,-6062.995913892664,-0.23620392341149254,6.190311213158604,1.3046089783906922,398600.4415,0.0010826269,0.0
125860.0,7743.92599632958,1639.5174534763614,-6049.827622543796,-0.267406262316386,6.1838308618368165,1.3290404022984335,398600.4415,0.0010826269,0.0
125870.0,7741.095966697029,1701.322322296997,-6036.41528463077,-0.29859774012360774,6.177101408757124,1.3534181439344337,398600.4415,0.0010826269,0.0
125880.0,7737.954081875167,1763.0586522128663,-6022.759441848281,-0.3297770963054921,6.170123127336858,1.3777412170806795,398600.4415,0.0010826269,0.0
125890.0,7734.500469346507,1824.7239563486733,-6008.8606457750775,-0.36094307082767896,6.1628963011109485,1.4020086377454604,398600.4415,0.0010826269,0.0
125900.0,7730.735269234545,1886.3157507194815,-5994.719457853271,-0.392094404201407,6.155421223720614,1.4262194242043393,398600.4415,0.0010826269,0.0
125910.0,7726.6586342482515,1947.8315543248812,-5980.336449325831,-0.42322983753207666,6.147698198905568,1.4503725970387025,398600.4415,0.0010826269,0.0
