station,t,rho_km,rho_dot_km_s,elev_rad
Station 2,79580.0,4968.589860127926,0.5649892571643838,0.5743584779978257
Station 2,79590.0,4974.4408637514025,0.6051864401154787,0.5725062781860227
Station 2,79600.0,4980.693070529559,0.6452281662138253,0.5705330067359763
Station 2,79610.0,4987.344874115698,0.6851041099468733,0.5684402783678864
Station 2,79620.0,4994.394565910917,0.7248041451014174,0.5662297894203987
Station 2,79630.0,5001.84033711176,0.764318354742492,0.5639033133544338
Station 2,79640.0,5009.680280855311,0.803637040624329,0.5614626961415141
Station 2,79650.0,5017.91239440936,0.8427507320360502,0.5589098515535473
Station 2,79660.0,5026.534581330324,0.881650194110882,0.5562467563666377
Station 2,79670.0,5035.544654157443,0.9203264353283703,0.5534754455809302
Station 2,79680.0,5044.940336772814,0.9587707145511792,0.5505980075611517
Station 2,79690.0,5054.71926691943,0.9969745474109983,0.547616579185466
Station 2,79700.0,5064.87899880058,1.0349297120571201,0.5445333410139706
Station 2,79710.0,5075.417005733113,1.072628254274793,0.5413505124932729
Station 2,79720.0,5086.330682848336,1.1100624919748479,0.5380703472153117
Station 2,79730.0,5097.617349834271,1.1472250190584163,0.5346951282474414
Station 2,79740.0,5109.274253713097,1.1841087086628752,0.5312271635495229
Station 2,79750.0,5121.29857164769,1.2207067157973353,0.5276687814924788
Station 2,79760.0,5133.687413771225,1.257012479378012,0.5240223264914583
Station 2,79770.0,5146.437826033935,1.293019723675803,0.5202901547654143
Station 2,79780.0,5159.546793061275,1.3287224591901037,0.5164746302335533
Station 2,79790.0,5173.011241017851,1.3641149829646244,0.5125781205578019
Station 2,79800.0,5186.828040471657,1.3991918783624364,0.5086029933391235
Station 2,79810.0,5200.994009253382,1.4339480143188146,0.504551612474237
Station 2,79820.0,5215.50591530564,1.4683785440916963,0.5004263346780882
Station 2,79830.0,5230.360479517293,1.5024789035306043,0.49622950617621286
Station 2,79840.0,5245.554378538163,1.5362448088858005,0.4919634595700221
Station 2,79850.0,5261.084247569711,1.569672254180221,0.4876305108769769
Station 2,79860.0,5276.946683127432,1.6027575081673173,0.48323295674661626
Station 2,79870.0,5293.138245771015,1.6354971108984717,0.4787730718524783
Station 2,79880.0,5309.655462798459,1.6678878699239605,0.47425310645909124
Station 2,79890.0,5326.494830900717,1.699926856151678,0.4696752841624149
Station 2,79900.0,5343.652818773512,1.7316113993879234,0.4650417998014201
Station 2,79910.0,5361.125869683342,1.7629390835845204,0.4603548175378235
Station 2,79920.0,5378.910403984884,1.7939077418164477,0.4556164691004265
Station 2,79930.0,5397.002821587234,1.8245154510138866,0.4508288521900097
Station 2,79940.0,5415.399504366672,1.8547605264722737,0.44599402904027674
Station 2,79950.0,5434.096818523875,1.884641516163536,0.4411140251299739
Station 2,79960.0,5453.091116883737,1.9141571948712288,0.43619082804098464
Station 2,79970.0,5472.378741136099,1.9433065581716227,0.431226386456951
Station 2,79980.0,5491.956024016094,1.9720888162823074,0.4262226092967335
Station 2,79990.0,5511.819291422765,2.0005033877990552,0.42118136497690895
Station 2,80000.0,5531.964864475044,2.028549893341034,0.416104480797351
Station 2,80010.0,5552.389061504249,2.0562281491236587,0.41099374244388875
Station 2,80020.0,5573.088199861612,2.083538160557857,0.40585089358408905
Station 2,80030.0,5594.058597812397,2.110480115728248,0.40067763558879627
Station 2,80040.0,5615.296576483031,2.137054378755951,0.3954756273720216
Station 2,80050.0,5636.798461486537,2.163261483327515,0.3902464852859035
Station 2,80060.0,5658.560584588169,2.189102126173203,0.38499178311763593
Station 2,80070.0,5680.57928530556,2.214577160571645,0.3797130521677107
Station 2,80080.0,5702.850912443631,2.2396875898941255,0.37441178140388226
Station 2,80090.0,5725.371825564786,2.264434561200967,0.36908941768537834
Station 2,80100.0,5748.138396395003,2.288819358901495,0.36374736605207264
Station 2,80110.0,5771.147010166556,2.3128433984882153,0.35838699007348884
Station 2,80120.0,5794.394066898201,2.3365082203550056,0.3530096122527053
Station 2,80130.0,5817.875982613739,2.3598154837082492,0.3476165144804027
Station 2,80140.0,5841.589190499989,2.3827669605790547,0.34220893853450746
Station 2,80150.0,5865.530142005244,2.4053645299439093,0.3367880866210596
Station 2,80160.0,5889.695307879373,2.427610171960304,0.33135512195217015
Station 2,80170.0,5914.0811791567685,2.449505962323242,0.325911169357095
Station 2,80180.0,5938.6842680834525,2.471054066747693,0.3204573159226806
Station 2,80190.0,5963.501108989611,2.4922567355814973,0.31499461165962467
Station 2,80200.0,5988.528259108959,2.5131162985525175,0.3095240701911937
Station 2,80210.0,6013.762299346298,2.533635159653248,0.30404666946123454
Station 2,80220.0,6039.199834994713,2.5538157921654805,0.29856335245850096
Station 2,80230.0,6064.83749640381,2.5736607338271202,0.29307502795451446
Station 2,80240.0,6090.671939600539,2.5931725821426896,0.287582571252331
Station 2,80250.0,6116.6998468639595,2.612353989838574,0.2820868249437992
Station 2,80260.0,6142.91792725553,2.631207660463665,0.2765885996730215
Station 2,80270.0,6169.322917106335,2.6497363441355244,0.27108867490392513
Station 2,80280.0,6195.911580462765,2.667942833431929,0.26558779968998286
Station 2,80290.0,6222.680709492123,2.6858299594271715,0.26008669344428725
Station 2,80300.0,6249.627124849592,2.7034005878722547,0.2545860467083155
Station 2,80310.0,6276.747676008055,2.720657615517753,0.24908652191786237
Station 2,80320.0,6304.03924155218,2.7376039665778165,0.2435887541647517
Station 2,80330.0,6331.498729438207,2.7542425893336366,0.23809335195304243
