t,rho,rhodot,elev_deg,station_id,sc_lat_deg,sc_lon_deg,sc_alt_m
1.26940000000000000e+05,5.91001166581729922e+03,-1.77630238780048666e+00,1.88072100140919929e+01,1,-2.64066601789581554e+01,1.10444559006365040e+02,3.61755401053154674e+03
1.26950000000000000e+05,5.89238218555807543e+03,-1.74971618906287429e+00,1.90326690016862656e+01,1,-2.62186539139712238e+01,1.10748069352711681e+02,3.61751427062190669e+03
1.26960000000000000e+05,5.87501855818990407e+03,-1.72284696441258345e+00,1.92558337949215037e+01,1,-2.60298234113797733e+01,1.11050466226689110e+02,3.61747458713666856e+03
1.26970000000000000e+05,5.85792569893909695e+03,-1.69568951513111332e+00,1.94766302928364041e+01,1,-2.58401781096732641e+01,1.11351757646688085e+02,3.61743496097267598e+03
1.26980000000000000e+05,5.84110450687244065e+03,-1.66825115226903575e+00,1.96949835458336011e+01,1,-2.56497273922088631e+01,1.11651951721153210e+02,3.61739539302511184e+03
1.26990000000000000e+05,5.82456099140908464e+03,-1.64053224683554477e+00,1.99108178051981533e+01,1,-2.54584805870526125e+01,1.11951056645168308e+02,3.61735588418755469e+03
1.27000000000000000e+05,5.80829522285856274e+03,-1.61253254948412028e+00,2.01240565761303429e+01,1,-2.52664469668499123e+01,1.12249080697115261e+02,3.61731643535207695e+03
1.27010000000000000e+05,5.79231022831657356e+03,-1.58425613206381133e+00,2.03346226743344118e+01,1,-2.50736357487244241e+01,1.12546032235405818e+02,3.61727704740930494e+03
1.27020000000000000e+05,5.77660930774517510e+03,-1.55570447797128275e+00,2.05424382861979709e+01,1,-2.48800560942047895e+01,1.12841919695287217e+02,3.61723772124848801e+03
1.27030000000000000e+05,5.76119908656922235e+03,-1.52688049191409769e+00,2.07474250325802529e+01,1,-2.46857171091780856e+01,1.13136751585719281e+02,3.61719845775758404e+03
1.27040000000000000e+05,5.74607358684769952e+03,-1.49778699276930505e+00,2.09495040362208229e+01,1,-2.44906278438694649e+01,1.13430536486324627e+02,3.61715925782332852e+03
1.27050000000000000e+05,5.73124625824363648e+03,-1.46842706081559560e+00,2.11485959927637595e+01,1,-2.42947972928470506e+01,1.13723283044410266e+02,3.61712012233130918e+03
1.27060000000000000e+05,5.71670661079363526e+03,-1.43880352465008743e+00,2.13446212453805586e+01,1,-2.40982343950514313e+01,1.14014999972060679e+02,3.61708105216604054e+03
1.27070000000000000e+05,5.70246726291938194e+03,-1.40891908882372396e+00,2.15374998629595922e+01,1,-2.39009480338490015e+01,1.14305696043301623e+02,3.61704204821103667e+03
1.27080000000000000e+05,5.68853054644907752e+03,-1.37877649547861414e+00,2.17271517218149164e+01,1,-2.37029470371082986e+01,1.14595380091334192e+02,3.61700311134887852e+03
1.27090000000000000e+05,5.67489362508167233e+03,-1.34837744720333830e+00,2.19134965908517039e+01,1,-2.35042401772987759e+01,1.14884061005838589e+02,3.61696424246129573e+03
1.27100000000000000e+05,5.66156281174365995e+03,-1.31773228364052608e+00,2.20964542201076704e+01,1,-2.33048361716111287e+01,1.15171747730346681e+02,3.61692544242923941e+03
1.27110000000000000e+05,5.64853939865367374e+03,-1.28683903560150981e+00,2.22759444325741640e+01,1,-2.31047436820986896e+01,1.15458449259682979e+02,3.61688671213294219e+03
1.27120000000000000e+05,5.63582637171816168e+03,-1.25570053290333927e+00,2.24518872191813763e+01,1,-2.29039713158389233e+01,1.15744174637473094e+02,3.61684805245200732e+03
